KS,Zulassungsbezirk,Benzin,Diesel,Gas,Hybrid,Elektro,Sonstige Kraftstoffart,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Sonstige Emissionsgruppe
10041,"SAARBRUECKEN,STADTVERB.",129559,57828,876,1786,244,27,2812,13962,18635,53894,49486,48004,1074
10042,MERZIG-WADERN,43687,25676,286,500,66,5,835,4438,6278,20365,20463,16701,256
10043,NEUNKIRCHEN,59720,24379,495,776,87,27,1049,6051,7882,24631,23857,20792,262
10044,SAARLOUIS,90819,39629,522,837,122,42,1900,8594,12073,39163,36171,31711,699
10045,SAAR-PFALZ-KREIS,65661,29958,571,736,133,33,1293,6714,9028,27404,27055,24097,493
10046,SANKT WENDEL,40686,19589,393,360,49,12,691,3946,4985,17695,18118,14743,175
14511,"CHEMNITZ, STADT",89814,33473,887,938,151,65,1031,6612,8924,35125,36410,35677,679
14521,ERZGEBIRGSKREIS,146099,53804,1197,824,124,73,1930,11245,14872,60096,61069,50295,1157
14522,MITTELSACHSEN,126158,50323,1606,829,119,79,1916,11518,14569,56526,52197,39932,1141
14523,VOGTLANDKREIS,98687,36375,842,690,98,42,1457,8032,9942,40204,39769,34972,1003
14524,ZWICKAU,135387,47022,1337,974,191,82,1622,10260,13195,54533,54952,47615,767
14612,"DRESDEN, STADT",157286,63942,1916,2604,431,99,2379,14018,17201,64427,62118,62641,989
14625,BAUTZEN,128625,48349,1503,1002,145,93,2181,13548,15989,57270,49052,38882,1255
14626,GOERLITZ,107804,33226,1094,615,97,75,1824,12350,13250,47468,37294,28590,974
14627,MEISSEN,96180,38299,1053,991,116,69,1960,11008,11981,42318,36708,30566,719
14628,SAECHS.SCHWEIZ-OSTERZGEB.,101480,37652,1080,1042,129,69,1781,10241,12285,44045,39407,31499,957
14713,"LEIPZIG, STADT",164475,57378,2337,2408,608,108,2499,14624,18133,65991,61080,61578,996
14729,LEIPZIG,106224,43019,1536,814,148,69,1843,10236,12458,46337,42549,35913,847
14730,NORDSACHSEN,80541,32386,942,502,73,36,1637,8129,9418,35315,31655,26136,497
15001,"DESSAU-ROSSLAU,STADT",31228,10123,391,334,28,27,452,2766,3413,12251,12181,10626,148
15002,"HALLE (SAALE),STADT",70161,21866,864,891,79,54,993,5550,7116,27330,26766,25124,254
15003,"MAGDEBURG, STADT",80473,28767,863,744,181,48,1177,6549,8348,32108,31516,28836,685
15081,ALTMARKKREIS SALZWEDEL,31981,17821,447,208,39,20,669,4152,4444,15730,14576,10026,304
15082,ANHALT-BITTERFELD,67884,23557,546,422,51,43,1143,6312,7479,27964,26609,21916,285
15083,BOERDE,71311,32434,891,329,73,30,1105,6888,8233,32305,31427,23681,354
15084,BURGENLANDKREIS,73622,26565,975,507,69,61,1151,6554,8297,31142,29453,23926,373
15085,HARZ,84144,36560,1167,570,74,60,1240,7693,9587,36355,36197,29789,409
15086,JERICHOWER LAND,37177,16425,368,285,28,27,837,3912,4821,16480,15305,11651,373
15087,MANSFELD-SUEDHARZ,56375,22499,443,413,43,34,1026,5092,6111,23164,23230,20153,335
15088,SAALEKREIS,80909,30686,973,771,69,53,1185,6904,8716,32588,33326,29367,482
15089,SALZLANDKREIS,76090,27397,945,574,43,70,1202,7175,8658,32058,30440,24502,298
15090,STENDAL,41547,20991,499,306,38,16,885,5239,5988,20064,17583,12528,436
15091,WITTENBERG,54653,19383,594,497,45,35,1069,5858,6794,22642,20950,16811,406
01001,"FLENSBURG,STADT",26840,16221,316,337,94,14,470,2865,3690,12721,11865,11470,250
01002,"KIEL,STADT",72467,35749,783,915,223,19,1510,8473,9730,32163,28602,27791,803
01003,"LUEBECK,STADT",66814,29929,927,599,197,14,1488,7737,8707,29593,25377,23893,631
01004,"NEUMUENSTER,STADT",27328,13860,411,290,56,5,488,3412,4108,12879,10588,9899,168
01051,DITHMARSCHEN,48708,30848,592,377,148,18,1011,7059,8354,24982,21890,16146,429
01053,HERZOGTUM LAUENBURG,74940,38997,1243,577,183,15,1696,8712,9942,34274,32795,26443,779
01054,NORDFRIESLAND,60768,39233,801,528,408,28,1405,8751,10261,29850,27397,21718,713
01055,OSTHOLSTEIN,83161,39525,1054,464,166,17,1963,9802,10904,36696,34855,27949,829
01056,PINNEBERG,119602,52293,1348,1290,296,27,2207,12154,14613,49666,48439,44724,696
01057,PLOEN,51264,26801,555,416,133,15,1043,6525,7402,23810,22068,16964,431
01058,RENDSBURG-ECKERNFOERDE,103384,64742,1398,969,297,17,2146,13166,16086,50639,48166,37502,960
01059,SCHLESWIG-FLENSBURG,71695,52170,1108,496,239,25,1563,10676,13206,38423,34439,25136,688
01060,SEGEBERG,106735,55416,1444,1113,294,30,2008,11614,14453,47755,45963,40463,909
01061,STEINBURG,51016,28203,732,364,85,13,1051,6437,7741,24134,22019,17622,518
01062,STORMARN,98073,49378,1223,1072,271,36,2209,10142,11649,41491,41111,40292,1046
16051,"ERFURT, STADT",66551,28654,779,726,159,32,930,5402,6747,26791,27332,28512,301
16052,"GERA, STADT",32863,12189,368,301,26,13,418,2547,3340,12900,13334,12573,136
16053,"JENA, STADT",30319,13796,337,461,79,20,620,2468,3138,11961,12675,13442,307
16054,"SUHL, STADT",13866,6174,141,223,11,9,151,793,1126,4831,6646,6633,43
16055,"WEIMAR, STADT",19887,8662,216,260,38,11,319,1613,2059,7938,8251,8466,169
16056,"EISENACH, STADT",15448,5876,169,160,23,10,206,1104,1450,5722,6147,6654,156
16061,EICHSFELD,38640,20380,628,193,41,14,601,3216,4234,18095,18493,14144,409
16062,NORDHAUSEN,33230,13279,378,166,60,11,460,3045,3751,14581,13802,10874,235
16063,WARTBURGKREIS,50034,22486,629,314,57,22,693,4047,5450,21566,22720,18078,568
16064,UNSTRUT-HAINICH-KREIS,38749,17014,487,310,48,10,534,3383,4371,17466,16619,13439,178
16065,KYFFHAEUSERKREIS,31272,12644,305,125,20,19,565,3231,3510,13459,12863,9923,128
16066,SCHMALKALDEN-MEININGEN,50153,24928,508,354,73,29,729,4127,5585,21353,23255,19803,531
16067,GOTHA,52567,22120,564,351,101,34,689,4216,5389,21929,22798,19593,347
16068,SOEMMERDA,27466,12253,311,128,23,13,418,2409,3060,12187,12248,9342,194
16069,HILDBURGHAUSEN,25356,13476,260,150,15,18,324,2029,2602,11423,12480,9902,138
16070,ILM-KREIS,39409,18133,465,290,158,19,615,3387,4046,16344,17673,15372,344
16071,WEIMARER-LAND,32618,14751,369,251,45,11,524,2780,3561,13479,14122,12461,204
16072,SONNEBERG,24938,9386,251,154,29,14,271,1697,2112,9249,10939,10128,123
16073,SAALFELD-RUDOLSTADT,41610,17795,434,308,39,18,584,3538,4241,17175,18061,15732,217
16074,SAALE-HOLZLANDKREIS,33522,14962,449,333,35,19,480,2871,3776,14456,14418,12557,185
16075,SAALE-ORLA-KREIS,33773,15944,393,143,32,19,494,2878,3821,14956,15297,12053,176
16076,GREIZ,41612,17927,482,315,35,19,595,3528,4439,17796,17674,15301,297
16077,ALTENBURGER LAND,38057,12601,433,177,42,20,591,3270,4003,15851,14361,12599,261
