KS,Zulassungsbezirk,Benzin,Diesel,Gas,Hybrid,Elektro,Sonstige Kraftstoffart,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Sonstige Emissionsgruppe
09778,UNTERALLGAEU,60368,34805,658,501,174,22,1233,6529,7918,29507,28235,21277,530
09779,DONAU-RIES,55047,33376,632,636,161,9,1099,6706,8025,27050,25602,19922,475
09780,OBERALLGAEU,62322,35601,518,436,219,17,1201,5542,7467,26648,29997,26057,814
11000,BERLIN,875664,298450,15780,17819,2713,364,19558,96731,105703,344668,296668,325178,5267
12051,"BRANDENBURG/HAVEL,STADT",25183,8476,226,302,38,16,366,2586,2988,10560,9270,8064,142
12052,"COTTBUS, STADT",36044,11702,346,384,31,23,606,3705,4162,14868,13249,11281,146
12053,"FRANKFURT/ODER,STADT",21387,6138,337,215,24,18,312,1985,2332,8352,7797,7027,136
12054,"POTSDAM,STADT",52074,21221,822,660,162,35,871,4689,5576,21294,21286,20090,305
12060,BARNIM,74177,27399,1349,819,133,39,1378,8384,9383,31337,28626,23020,418
12061,DAHME-SPREEWALD,69419,29678,1416,1121,132,38,1503,8272,9143,30264,27735,23367,343
12062,ELBE-ELSTER,44034,18205,627,401,196,33,1234,6369,6394,20071,16317,11935,383
12063,HAVELLAND,64650,25488,1058,870,112,31,1230,7080,8227,28148,25104,20769,414
12064,MAERKISCH-ODERLAND,82295,30336,1471,920,89,47,1695,9460,10481,34758,30853,25203,654
12065,OBERHAVEL,85518,32040,1617,1105,147,32,1748,9477,10806,36422,32806,26162,560
12066,OBERSPREEWALD-LAUSITZ,45961,18529,563,431,35,33,1054,5429,5975,19818,17922,14261,202
12067,ODER-SPREE,75137,29082,1196,624,82,30,1395,8103,9470,31950,29517,24090,495
12068,OSTPRIGNITZ-RUPPIN,38432,18368,663,212,51,18,774,4785,5672,18837,15577,11057,293
12069,POTSDAM-MITTELMARK,84221,39622,1384,835,215,41,1701,8738,10423,36953,36082,30053,534
12070,PRIGNITZ,30471,14074,383,200,28,17,683,4052,4324,14769,12320,8264,182
12071,SPREE-NEISSE,51324,18252,540,328,61,25,1143,6315,6631,22697,18935,13430,387
12072,TELTOW-FLAEMING,68965,30135,1325,650,110,29,1569,8115,8632,30181,28019,22808,347
12073,UCKERMARK,49045,17843,613,466,53,23,876,5421,6407,22034,18373,13658,252
04011,"BREMEN, STADT",161560,75723,2737,2029,390,41,3702,17776,21204,69520,59516,64726,1232
04012,"BREMERHAVEN,STADT",34173,14676,609,505,56,15,449,3559,4599,15429,13229,12304,156
02000,HAMBURG,523298,254701,5914,8321,2233,151,11943,51010,58534,198844,189560,265049,5677
06411,"DARMSTADT,STADT",47120,23851,715,827,224,7,1146,5256,5818,19566,17624,21618,397
06412,"FRANKFURT AM MAIN,STADT",194532,134764,2424,3775,821,97,4458,19176,22059,76482,73035,132836,1663
06413,"OFFENBACH AM MAIN,STADT",36014,18688,537,609,106,20,910,4307,5139,15765,13205,15655,243
06414,"WIESBADEN,STADT",95120,47193,1199,1310,360,39,1943,9081,10889,38642,37092,44086,663
06431,BERGSTRASSE,115532,52292,1437,1309,323,32,2620,13397,14525,48821,45297,42912,779
